well,sample_id,od_450,od_570,od_corrected,concentration_pg_ml,cv_percent,notes
A1,STD_2000,2.847,0.089,2.758,2000,1.2,Standard
A2,STD_2000,2.891,0.091,2.800,2000,1.2,Standard duplicate
B1,STD_1000,1.923,0.088,1.835,1000,0.8,Standard
B2,STD_1000,1.944,0.090,1.854,1000,0.8,Standard duplicate
C1,STD_500,1.102,0.087,1.015,500,1.5,Standard
C2,STD_500,1.134,0.088,1.046,500,1.5,Standard duplicate
D1,STD_250,0.623,0.088,0.535,250,2.1,Standard
D2,STD_250,0.651,0.089,0.562,250,2.1,Standard duplicate
E1,STD_125,0.342,0.087,0.255,125,1.8,Standard
E2,STD_125,0.356,0.090,0.266,125,1.8,Standard duplicate
F1,STD_62.5,0.198,0.088,0.110,62.5,3.2,Standard
F2,STD_62.5,0.212,0.087,0.125,62.5,3.2,Standard duplicate
G1,STD_31.25,0.134,0.089,0.045,31.25,4.5,Standard
G2,STD_31.25,0.141,0.088,0.053,31.25,4.5,Standard duplicate
H1,BLANK,0.092,0.088,0.004,,, Blank
H2,BLANK,0.090,0.087,0.003,,,Blank duplicate
A3,SAMPLE_001,0.782,0.088,0.694,312.4,2.3,Treated condition A
A4,SAMPLE_001,0.799,0.089,0.710,320.1,2.3,Treated condition A duplicate
B3,SAMPLE_002,1.456,0.090,1.366,605.2,1.9,Treated condition B
B4,SAMPLE_002,1.478,0.088,1.390,618.3,1.9,Treated condition B duplicate
C3,SAMPLE_003,0.254,0.087,0.167,64.8,3.8,Control untreated
C4,SAMPLE_003,0.267,0.089,0.178,70.2,3.8,Control untreated duplicate
D3,SAMPLE_004,2.145,0.090,2.055,,5.1,Above standard curve — requires dilution
D4,SAMPLE_004,2.198,0.088,2.110,,5.1,Above standard curve — requires dilution
